n,A,B,X,Aox,Box,Cox,RaIX,RaXII,Rb,Rc,exp,EAH
0.0,Ba,Tm,O,0.0,0.0,0.0,2.15,2.15,1.75,0.6,True,0.0724718132499981
0.0,Ba,W,O,2.0,4.0,-2.0,1.47,1.61,0.66,1.26,True,0.158416016499995
0.0,Ba,Zn,O,0.0,0.0,0.0,2.15,2.15,1.35,0.6,True,0.1742941279999961
0.0,Ca,Co,O,2.0,4.0,-2.0,1.18,1.34,0.53,1.26,True,0.1603328566666677
0.0,Ca,Cu,O,2.0,1.0,-1.0,1.18,1.34,0.77,0.6999999999999998,True,0.1624751933749983
0.0,Ca,Fe,O,2.0,4.0,-2.0,1.18,1.34,0.585,1.26,True,0.0521472515000001
0.0,Ca,Ge,O,2.0,4.0,-2.0,1.18,1.34,0.53,1.26,True,0.1707720013333347
1.0,Ca,Ge,O,2.0,4.0,-2.0,1.18,1.34,0.53,1.26,False,0.146360459285713
0.0,Ca,Hf,O,2.0,4.0,-2.0,1.18,1.34,0.71,1.26,True,0.1600869140000007
1.0,Ca,Hf,O,2.0,4.0,-2.0,1.18,1.34,0.71,1.2600000000000002,True,0.0250919975000005
0.0,Ca,Mn,O,2.0,4.0,-2.0,1.18,1.34,0.53,1.26,True,0.1165496273333364
1.0,Ca,Mn,O,2.0,4.0,-2.0,1.18,1.34,0.53,1.2600000000000002,False,0.0209950820238109
2.0,Ca,Mn,O,2.0,4.0,-2.0,1.18,1.34,0.53,1.26,False,0.0573382527777797
3.0,Ca,Mn,O,2.0,4.0,-2.0,1.18,1.34,0.5300000000000001,1.2599999999999998,False,0.0216410461764704
0.0,Ca,Ru,O,2.0,4.0,-2.0,1.18,1.34,0.62,1.26,True,0.1652333974999997
1.0,Ca,Ru,O,2.0,4.0,-2.0,1.18,1.34,0.62,1.26,False,0.0318261282142859
0.0,Ca,Sc,O,0.0,0.0,0.0,1.8,1.8,1.6,0.6,True,0.2404754344999968
0.0,Ca,V,O,2.0,4.0,-2.0,1.18,1.34,0.58,1.26,True,0.1062316629107158
0.0,Ca,Zn,O,0.0,0.0,0.0,1.8,1.8,1.35,0.6,True,0.2381676579999974
0.0,Ce,Ti,O,3.0,3.0,-2.0,1.196,1.34,0.67,1.26,True,0.0838094562500035
0.0,Cs,Ag,Br,1.0,2.0,-1.0,1.78,1.88,0.94,1.82,True,0.0024982199999969
0.0,Cs,Au,F,0.0,0.0,0.0,2.6,2.6,1.35,0.5,True,0.1041280913333366
0.0,Cs,Bi,O,1.0,5.0,-2.0,1.78,1.88,0.76,1.26,True,0.0405547810000079
0.0,Cs,Gd,O,0.0,0.0,0.0,2.6,2.6,1.8,0.6,True,0.2189109054999996
0.0,Cs,In,Br,1.0,2.0,-1.0,1.78,1.88,1.35,1.82,True,0.0243895169999968
0.0,Cs,In,F,1.0,2.0,-1.0,1.78,1.88,1.35,1.19,True,0.106408644
0.0,Cs,Ir,O,0.0,0.0,0.0,2.6,2.6,1.35,0.6,True,0.2113699624999965
0.0,Cs,La,O,1.0,2.0,-1.0,1.78,1.88,1.75,0.6999999999999998,True,0.2498969926250005
0.0,Cs,Np,O,0.0,0.0,0.0,2.6,2.6,1.75,0.6,True,0.0890512840000088
1.0,Cs,Np,O,0.0,0.0,0.0,2.6,2.6,1.75,0.6,True,0.0
0.0,Cs,Os,O,0.0,0.0,0.0,2.6,2.6,1.3,0.6,True,0.2410426829999981
0.0,Cs,Pa,O,0.0,0.0,0.0,2.6,2.6,1.8,0.6,True,0.0
0.0,Cs,Pb,O,0.0,0.0,0.0,2.6,2.6,1.8,0.6,True,0.2085969876666675
0.0,Cs,Pd,Br,1.0,2.0,-1.0,1.78,1.88,0.86,1.82,True,0.0018138420000002
0.0,Cs,Pd,Cl,1.0,2.0,-1.0,1.78,1.88,0.86,1.67,True,0.0522066935000129
0.0,Cs,Pd,F,1.0,2.0,-1.0,1.78,1.88,0.86,1.19,True,0.0735917179999976
0.0,Cs,Pd,O,1.0,2.0,-1.0,1.78,1.88,0.86,0.6999999999999998,True,0.238677719
0.0,Cs,Th,O,0.0,0.0,0.0,2.6,2.6,1.8,0.6,True,0.1465335620000019
0.0,Cs,Tl,F,0.0,0.0,0.0,2.6,2.6,1.9,0.5,True,0.0633824040000021
0.0,Cs,U,O,1.0,5.0,-2.0,1.78,1.88,0.76,1.26,True,0.0214696040000124
1.0,Cs,U,O,1.0,6.0,-2.0,1.78,1.88,0.73,1.26,False,0.0
0.0,Ag,Cu,F,1.0,2.0,-1.0,1.5,1.5,0.73,1.19,True,0.034928862000001
0.0,Bi,Cu,O,3.0,3.0,-2.0,1.3,1.3,0.54,1.26,True,0.1720663100625019
0.0,Dy,Al,O,3.0,3.0,-2.0,1.45,1.45,0.535,1.26,True,0.1417498529999985
0.0,Dy,Cu,O,3.0,3.0,-2.0,1.45,1.45,0.54,1.26,True,0.2257026035624996
0.0,Er,Al,O,3.0,3.0,-2.0,1.45,1.45,0.535,1.26,True,0.186070174200001
0.0,Eu,Al,O,3.0,3.0,-2.0,1.55,1.55,0.535,1.26,True,0.1203964344999981
2.0,Eu,Al,O,2.6666666666666665,3.0,-2.0,1.5833333333333333,1.5833333333333333,0.535,1.26,True,0.0423697177083415
0.0,Eu,Co,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.53,1.26,True,0.223772546000001
1.0,Eu,Co,O,3.0,2.0,-2.0,1.55,1.55,1.1500000000000001,1.26,True,0.2474797853571413
0.0,Eu,Cr,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.55,1.26,True,0.1878008170000011
0.0,Eu,Cu,O,2.0,1.0,-1.0,1.6500000000000001,1.6500000000000001,0.77,0.6999999999999998,True,0.1708528556250002
0.0,Eu,Ge,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.53,1.26,True,0.09222758000001
0.0,Eu,Mn,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.53,1.26,True,0.1256707706874991
0.0,Eu,Mo,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.65,1.26,True,0.1496600012499982
0.0,Eu,Ni,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.48,1.26,True,0.2077995360833409
1.0,Eu,Ni,O,3.0,2.0,-2.0,1.55,1.55,0.69,1.26,True,0.2845533392857113
0.0,Eu,Re,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.63,1.26,True,0.2484921412692298
0.0,Eu,Ru,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.62,1.26,True,0.2182072527499983
0.0,Eu,Sn,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.69,1.26,True,0.1384474116250018
0.0,Eu,Tc,O,0.0,0.0,0.0,1.85,1.85,1.35,0.6,True,0.1464484921250015
0.0,Eu,V,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.58,1.26,True,0.0432424361249896
1.0,Eu,V,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.58,1.26,False,0.0
2.0,Eu,V,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.58,1.26,True,0.0425468988020831
0.0,Eu,W,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.66,1.26,True,0.2359478567499984
0.0,Eu,Zr,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.72,1.26,True,0.0933191865000058
1.0,Eu,Zr,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.72,1.26,True,0.0734172646428543
0.0,Pb,Fe,O,2.0,4.0,-2.0,1.35,1.49,0.585,1.26,True,0.1982501862500001
0.0,Bi,Ga,O,3.0,3.0,-2.0,1.3,1.3,0.62,1.26,True,0.1947061310000011
0.0,Gd,Al,O,3.0,3.0,-2.0,1.5,1.5,0.535,1.26,True,0.085117609399985
0.0,Gd,Co,O,3.0,3.0,-2.0,1.5,1.5,1.05,1.26,True,0.2307191605000014
0.0,Gd,Cr,O,3.0,3.0,-2.0,1.5,1.5,0.615,1.26,True,0.2346617324999993
0.0,Gd,Cu,O,3.0,3.0,-2.0,1.5,1.5,0.54,1.26,True,0.1594863518750031
0.0,K,Ag,Cl,1.0,2.0,-1.0,1.55,1.64,0.94,1.67,True,0.0037957010000013
0.0,K,Ag,F,1.0,2.0,-1.0,1.55,1.64,0.94,1.19,True,0.0062413200000008
1.0,K,Ag,F,1.0,2.0,-1.0,1.55,1.64,0.94,1.1899999999999997,True,0.0132515607142877
0.0,K,Au,Br,0.0,0.0,0.0,2.2,2.2,1.35,1.15,True,0.0463294751250025
0.0,K,Au,Cl,0.0,0.0,0.0,2.2,2.2,1.35,1.0,True,0.0626134846666657
0.0,K,Au,F,0.0,0.0,0.0,2.2,2.2,1.35,0.5,True,0.1607115999999973
0.0,K,Ca,Cl,1.0,2.0,-1.0,1.55,1.64,1.0,1.67,True,0.0457331545000005
0.0,K,Cu,Cl,1.0,2.0,-1.0,1.55,1.64,0.73,1.67,True,0.030757296999992
0.0,K,Hf,O,0.0,0.0,0.0,2.2,2.2,1.55,0.6,True,0.0409062717499928
0.0,K,Lu,O,0.0,0.0,0.0,2.2,2.2,1.75,0.6,True,0.2356623990833322
0.0,K,Mo,O,1.0,5.0,-2.0,1.55,1.64,0.61,1.26,True,0.1068749729999973
0.0,K,Np,O,0.0,0.0,0.0,2.2,2.2,1.75,0.6,True,0.0
1.0,K,Np,O,0.0,0.0,0.0,2.2,2.2,1.75,0.6,True,0.0
0.0,K,Os,O,0.0,0.0,0.0,2.2,2.2,1.3,0.6,True,0.0386250924285649
0.0,K,Pa,O,0.0,0.0,0.0,2.2,2.2,1.8,0.6,True,0.0
0.0,K,Pb,O,0.0,0.0,0.0,2.2,2.2,1.8,0.6,True,0.1511464969999982
0.0,K,Pd,O,1.0,2.0,-1.0,1.55,1.64,0.86,0.6999999999999998,True,0.1662051293333339
0.0,K,Pt,O,0.0,0.0,0.0,2.2,2.2,1.35,0.6,True,0.1254621801666653
1.0,K,Pu,O,0.0,0.0,0.0,2.2,2.2,1.75,0.6,True,0.0
0.0,K,Re,O,1.0,5.0,-2.0,1.55,1.64,0.58,1.26,True,0.03743742071428
0.0,K,Rh,O,0.0,0.0,0.0,2.2,2.2,1.35,0.6,True,0.0611240440000022
0.0,K,Ru,O,1.0,5.0,-2.0,1.55,1.64,0.565,1.26,True,0.1041077557500065
0.0,K,Sc,O,1.0,2.0,-1.0,1.55,1.64,1.4000000000000001,0.6999999999999998,True,0.2033215572499997
0.0,K,Tc,O,0.0,0.0,0.0,2.2,2.2,1.35,0.6,True,0.0
0.0,K,Tm,O,1.0,2.0,-1.0,1.55,1.64,1.03,0.6999999999999998,True,0.2474552408333332
0.0,K,V,O,1.0,5.0,-2.0,1.55,1.64,0.54,1.26,True,0.2169112905000005
0.0,K,W,O,1.0,5.0,-2.0,1.55,1.64,0.62,1.26,True,0.0676837248333335
0.0,K,Zr,O,0.0,0.0,0.0,2.2,2.2,1.55,0.6,True,0.0663136548333334
0.0,La,Ag,O,3.0,3.0,-2.0,1.216,1.36,0.75,1.26,True,0.239374473999999
1.0,La,Ag,O,3.0,2.0,-2.0,1.216,1.36,0.94,1.26,True,0.2562959496428627
0.0,La,Cu,O,3.0,3.0,-2.0,1.216,1.36,0.54,1.26,True,0.0242210939999978
0.0,La,Mg,O,0.0,0.0,0.0,1.95,1.95,1.5,0.6,True,0.2103714165000001
1.0,La,Mg,O,3.0,2.0,-2.0,1.216,1.36,0.72,1.26,True,0.0873159246428549
0.0,La,Sc,O,3.0,3.0,-2.0,1.216,1.36,0.745,1.26,True,0.204081823000001
0.0,La,Zn,O,0.0,0.0,0.0,1.95,1.95,1.35,0.6,True,0.1304627797500011
0.0,Ac,Li,O,0.0,0.0,0.0,1.95,1.95,1.45,0.6,True,0.1292566872142835
0.0,Ca,Li,F,2.0,1.0,-1.0,1.18,1.34,0.76,1.19,True,0.1874393219999994
0.0,La,Li,O,2.0,1.0,-1.0,1.75,1.75,0.76,0.6999999999999998,True,0.2220490414642864
0.0,Pr,Li,O,2.0,1.0,-1.0,1.6500000000000001,1.6500000000000001,0.76,0.6999999999999998,True,0.235092001089284
0.0,Li,Ru,O,1.0,5.0,-2.0,1.3499999999999999,1.3499999999999999,0.565,1.26,True,0.2110826307916689
0.0,Li,Tc,O,0.0,0.0,0.0,1.45,1.45,1.35,0.6,True,0.0652702085833318
0.0,Ag,Mg,F,1.0,2.0,-1.0,1.5,1.5,0.72,1.19,True,0.0331789360000005
0.0,Tl,Mg,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,0.72,1.19,True,0.0
0.0,In,Mn,F,1.0,2.0,-1.0,1.45,1.45,1.2,1.19,True,0.0322213831111115
0.0,Pb,Mn,O,2.0,4.0,-2.0,1.35,1.49,0.53,1.26,True,0.1138747198846283
0.0,Tl,Mn,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,1.2,1.19,True,0.0
0.0,Pb,Mo,O,2.0,4.0,-2.0,1.35,1.49,0.65,1.26,True,0.1173922968124969
0.0,Na,Al,O,0.0,0.0,0.0,1.8,1.8,1.25,0.6,True,0.2178403379999984
0.0,Na,Co,O,0.0,0.0,0.0,1.8,1.8,1.35,0.6,True,0.2222077932499999
0.0,Na,Fe,O,0.0,0.0,0.0,1.8,1.8,1.4,0.6,True,0.1464473784999986
0.0,Na,Ge,O,0.0,0.0,0.0,1.8,1.8,1.25,0.6,True,0.2345346542499999
0.0,Na,Mo,O,1.0,5.0,-2.0,1.24,1.39,0.61,1.26,True,0.0963398490000022
0.0,Na,Os,O,0.0,0.0,0.0,1.8,1.8,1.3,0.6,True,0.0350546364999999
0.0,Na,Re,O,1.0,5.0,-2.0,1.24,1.39,0.58,1.26,True,0.0419386955999963
0.0,Na,Ru,O,1.0,5.0,-2.0,1.24,1.39,0.565,1.26,True,0.0890767173749988
0.0,Na,Ti,F,1.0,2.0,-1.0,1.24,1.39,0.86,1.19,True,0.2350290187777739
0.0,Na,Ti,O,0.0,0.0,0.0,1.8,1.8,1.4,0.6,True,0.0903147999500015
0.0,Na,V,O,1.0,5.0,-2.0,1.24,1.39,0.54,1.26,True,0.1419200870000008
0.0,Tl,Nb,O,1.0,5.0,-2.0,1.7999999999999998,1.7999999999999998,0.64,1.26,True,0.0906740972499999
0.0,Np,Al,O,0.0,0.0,0.0,1.75,1.75,1.25,0.6,True,0.0427647980624996
0.0,Np,Ti,O,0.0,0.0,0.0,1.75,1.75,1.4,0.6,True,0.17949956
0.0,Tl,Pa,O,0.0,0.0,0.0,1.9,1.9,1.8,0.6,True,0.0
0.0,Pm,Ti,O,0.0,0.0,0.0,1.85,1.85,1.4,0.6,True,0.1094739327500011
0.0,Pr,Cu,O,3.0,3.0,-2.0,1.55,1.55,0.54,1.26,True,0.0246290654999974
1.0,Pr,Cu,O,3.0,2.0,-2.0,1.55,1.55,0.73,1.26,False,0.0807000314285701
0.0,Pr,Hf,O,3.0,3.0,-2.0,1.55,1.55,1.25,1.26,True,0.2237529397500033
0.0,Pr,Ti,O,3.0,3.0,-2.0,1.55,1.55,0.67,1.26,True,0.1046450139999883
0.0,Pb,Pu,O,0.0,0.0,0.0,1.8,1.8,1.75,0.6,True,0.2141319438124949
0.0,Pu,Ti,O,0.0,0.0,0.0,1.75,1.75,1.4,0.6,True,0.0804210209999993
0.0,Rb,Ac,O,0.0,0.0,0.0,2.35,2.35,1.95,0.6,True,0.180333470999999
0.0,Rb,Ag,Cl,1.0,2.0,-1.0,1.63,1.72,0.94,1.67,True,0.0019681539999991
0.0,Rb,As,O,0.0,0.0,0.0,2.35,2.35,1.15,0.6,True,0.2054534339000007
0.0,Rb,Au,Cl,0.0,0.0,0.0,2.35,2.35,1.35,1.0,True,0.0537029372500006
0.0,Rb,Au,F,0.0,0.0,0.0,2.35,2.35,1.35,0.5,True,0.1265957406666649
0.0,Rb,Bi,O,1.0,5.0,-2.0,1.63,1.72,0.76,1.26,True,0.0
0.0,Rb,Ca,Br,1.0,2.0,-1.0,1.63,1.72,1.0,1.82,True,0.0237440374999997
0.0,Rb,Cu,Br,1.0,2.0,-1.0,1.63,1.72,0.73,1.82,True,0.0139929159999989
0.0,Rb,Er,O,0.0,0.0,0.0,2.35,2.35,1.75,0.6,True,0.2482169909999996
0.0,Rb,Eu,Cl,1.0,2.0,-1.0,1.63,1.72,1.17,1.67,True,0.0383723899999957
0.0,Rb,Ir,O,1.0,5.0,-2.0,1.63,1.72,0.57,1.26,True,0.0443151190000019
0.0,Rb,Mo,O,0.0,0.0,0.0,2.35,2.35,1.45,0.6,True,0.193318934999997
0.0,Rb,Np,O,0.0,0.0,0.0,2.35,2.35,1.75,0.6,True,0.0123390590000056
1.0,Rb,Np,O,0.0,0.0,0.0,2.35,2.35,1.75,0.6,True,0.0
0.0,Rb,Os,O,0.0,0.0,0.0,2.35,2.35,1.3,0.6,True,0.090559168999996
0.0,Rb,Pa,O,0.0,0.0,0.0,2.35,2.35,1.8,0.6,True,0.0
0.0,Rb,Pd,Cl,1.0,2.0,-1.0,1.63,1.72,0.86,1.67,True,0.0433054944999984
0.0,Rb,Pd,O,1.0,2.0,-1.0,1.63,1.72,0.86,0.6999999999999998,True,0.1556027990000013
0.0,Rb,Pt,O,0.0,0.0,0.0,2.35,2.35,1.35,0.6,True,0.1602229840000033
1.0,Rb,Pu,O,0.0,0.0,0.0,2.35,2.35,1.75,0.6,True,0.0
0.0,Rb,Re,O,1.0,5.0,-2.0,1.63,1.72,0.58,1.26,True,0.1468107104264726
0.0,Rb,Rh,O,0.0,0.0,0.0,2.35,2.35,1.35,0.6,True,0.1158683830000004
0.0,Rb,Ru,O,1.0,5.0,-2.0,1.63,1.72,0.565,1.26,True,0.1991827177499985
0.0,Rb,Sb,O,1.0,5.0,-2.0,1.63,1.72,0.6,1.26,True,0.096659121590906
0.0,Rb,Sn,O,0.0,0.0,0.0,2.35,2.35,1.45,0.6,True,0.1858508148333371
0.0,Rb,Tm,O,1.0,2.0,-1.0,1.63,1.72,1.03,0.6999999999999998,True,0.243250292249999
0.0,Rb,W,O,0.0,0.0,0.0,2.35,2.35,1.35,0.6,True,0.1532382055000054
0.0,Pb,Ru,O,2.0,4.0,-2.0,1.35,1.49,0.62,1.26,True,0.1759832162013843
0.0,Pb,Sb,O,2.0,4.0,-2.0,1.35,1.49,1.0499999999999998,1.26,True,0.1700234941093654
0.0,Sm,Cu,O,3.0,3.0,-2.0,1.132,1.24,0.54,1.26,True,0.1243862085000007
0.0,Sm,Fe,O,3.0,3.0,-2.0,1.132,1.24,1.0999999999999999,1.26,True,0.2223701854999991
0.0,Sm,Ga,O,3.0,3.0,-2.0,1.132,1.24,0.62,1.26,True,0.2101929910833337
0.0,Sm,Mn,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.53,1.26,True,0.1996038399999999
0.0,Sm,Ti,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.605,1.26,True,0.1962379952499926
0.0,Pb,Sn,O,2.0,4.0,-2.0,1.35,1.49,0.69,1.26,True,0.1167542734999997
0.0,Sr,Ag,O,2.0,1.0,-1.0,1.31,1.44,1.15,0.6999999999999998,True,0.1135589189999946
0.0,Sr,Al,O,0.0,0.0,0.0,2.0,2.0,1.25,0.6,True,0.0508495222500018
0.0,Sr,As,O,0.0,0.0,0.0,2.0,2.0,1.15,0.6,True,0.2456489544999982
0.0,Sr,Er,O,0.0,0.0,0.0,2.0,2.0,1.75,0.6,True,0.2229598522499998
0.0,Sr,Ho,O,0.0,0.0,0.0,2.0,2.0,1.75,0.6,True,0.2362225938749986
0.0,Sr,In,O,0.0,0.0,0.0,2.0,2.0,1.55,0.6,True,0.1941839004999916
0.0,Sr,Mg,O,0.0,0.0,0.0,2.0,2.0,1.5,0.6,True,0.2206858959999964
0.0,Sr,Os,O,0.0,0.0,0.0,2.0,2.0,1.3,0.6,True,0.0969186678181799
0.0,Sr,Pd,O,2.0,4.0,-2.0,1.31,1.44,0.615,1.26,True,0.0701218604999995
0.0,Sr,Pt,O,0.0,0.0,0.0,2.0,2.0,1.35,0.6,True,0.1597648697499991
0.0,Sr,Pu,O,0.0,0.0,0.0,2.0,2.0,1.75,0.6,True,0.0906437980000021
0.0,Sr,Re,O,2.0,4.0,-2.0,1.31,1.44,0.63,1.26,True,0.1264082169333367
0.0,Sr,Sb,O,0.0,0.0,0.0,2.0,2.0,1.45,0.6,True,0.1320984407999974
0.0,Sr,Sc,O,0.0,0.0,0.0,2.0,2.0,1.6,0.6,True,0.0912574672499992
0.0,Sr,Ta,O,2.0,4.0,-2.0,1.31,1.44,0.68,1.26,True,0.0596068065066734
0.0,Sr,Tl,O,0.0,0.0,0.0,2.0,2.0,1.9,0.6,True,0.2406669654999937
0.0,Sr,Tm,O,0.0,0.0,0.0,2.0,2.0,1.75,0.6,True,0.2058953629999962
0.0,Sr,W,O,2.0,4.0,-2.0,1.31,1.44,0.66,1.26,True,0.1950455709999996
0.0,Sr,Zn,O,0.0,0.0,0.0,2.0,2.0,1.35,0.6,True,0.1679722980000004
0.0,Ag,Ta,O,1.0,5.0,-2.0,1.5,1.5,0.64,1.26,True,0.0354765909999965
0.0,In,Ta,O,1.0,5.0,-2.0,1.45,1.45,0.64,1.26,True,0.1711279543333326
0.0,Tl,Ta,O,1.0,5.0,-2.0,1.7999999999999998,1.7999999999999998,0.64,1.26,True,0.1073648547499992
0.0,Tb,Cu,O,3.0,3.0,-2.0,1.45,1.45,0.54,1.26,True,0.1563340444999994
0.0,Tb,Ni,O,3.0,3.0,-2.0,1.45,1.45,1.05,1.26,True,0.1986685039999995
0.0,Hg,Ti,O,2.0,4.0,-2.0,1.3,1.3,0.605,1.26,True,0.2360412915000012
0.0,Sn,Ti,O,2.0,4.0,-2.0,1.25,1.25,0.605,1.26,True,0.1580226890000009
0.0,Tl,Co,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,1.1500000000000001,1.19,True,0.196479113499997
1.0,Tl,Co,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,1.1500000000000001,1.19,True,0.0225247407142843
0.0,Tl,Cu,Cl,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,0.73,1.67,True,0.0289165964999966
0.0,Tl,Cu,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,0.73,1.19,True,0.0038410899999945
1.0,Tl,Cu,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,0.73,1.19,True,0.0
1.0,Tl,Ni,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,0.69,1.19,True,0.0
0.0,Tl,Pd,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,0.86,1.19,True,0.0
0.0,Tl,Tc,O,0.0,0.0,0.0,1.9,1.9,1.35,0.6,True,0.0359791222916676
0.0,Tl,W,O,0.0,0.0,0.0,1.9,1.9,1.35,0.6,True,0.1577519640000062
0.0,Tl,Zn,F,1.0,2.0,-1.0,1.7999999999999998,1.7999999999999998,0.74,1.19,True,0.0
0.0,U,Al,O,3.0,3.0,-2.0,1.45,1.45,0.535,1.26,True,0.1737771648506125
0.0,Tl,U,O,1.0,5.0,-2.0,1.7999999999999998,1.7999999999999998,0.76,1.26,True,0.0
1.0,Tl,U,O,1.0,6.0,-2.0,1.7999999999999998,1.7999999999999998,0.73,1.26,True,0.0
0.0,Y,Co,O,3.0,3.0,-2.0,1.5,1.5,1.05,1.26,True,0.2303305295000157
0.0,Y,Cu,O,3.0,3.0,-2.0,1.5,1.5,0.54,1.26,True,0.2224431727045441
0.0,Y,Ni,O,3.0,3.0,-2.0,1.5,1.5,1.05,1.26,True,0.2099643790000023
0.0,Tl,Zr,O,0.0,0.0,0.0,1.9,1.9,1.55,0.6,True,0.2348801273333052
