n,A,B,X,Aox,Box,Cox,RaIX,RaXII,Rb,Rc,exp,EAH
2.0,Eu,Ti,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.605,1.26,True,0.0002717129166871
3.0,Eu,Ti,O,2.0,4.0,-2.0,1.6500000000000001,1.6500000000000001,0.605,1.26,True,0.0032556188235464
0.0,K,Cu,F,1.0,2.0,-1.0,1.55,1.64,0.73,1.1899999999999997,False,0.0023876399999922
1.0,K,Cu,F,1.0,2.0,-1.0,1.55,1.64,0.73,1.19,False,0.0149651078571428
2.0,K,Cu,F,1.0,2.0,-1.0,1.55,1.64,0.73,1.1899999999999997,False,0.0185896629166526
0.0,Rb,Cu,F,1.0,2.0,-1.0,1.63,1.72,0.73,1.1899999999999997,False,0.0
1.0,Rb,Cu,F,1.0,2.0,-1.0,1.63,1.72,0.73,1.19,True,0.0
0.0,Cs,Ca,Cl,1.0,2.0,-1.0,1.78,1.88,1.0,1.67,True,0.0
1.0,Cs,Ca,Cl,1.0,2.0,-1.0,1.78,1.88,1.0,1.67,True,0.0
2.0,Cs,Ca,Cl,1.0,2.0,-1.0,1.78,1.88,1.0,1.67,True,0.0
0.0,Cs,Pb,Br,1.0,2.0,-1.0,1.78,1.88,1.19,1.82,True,0.0074836449999993
0.0,Rb,Cu,Cl,1.0,2.0,-1.0,1.63,1.72,0.73,1.67,True,0.0008872559999968
1.0,Rb,Cu,Cl,1.0,2.0,-1.0,1.63,1.72,0.73,1.67,True,0.0210431514285711
0.0,Sr,Ti,O,2.0,4.0,-2.0,1.31,1.44,0.605,1.26,True,0.0
1.0,Sr,Ti,O,2.0,4.0,-2.0,1.31,1.44,0.605,1.26,False,0.0
2.0,Sr,Ti,O,2.0,4.0,-2.0,1.31,1.4400000000000002,0.605,1.26,False,0.0
3.0,Sr,Ti,O,2.0,4.0,-2.0,1.31,1.44,0.605,1.26,False,0.0
0.0,Cs,Dy,Br,1.0,2.0,-1.0,1.78,1.88,1.07,1.82,False,0.0924846973333295
0.0,Cs,Sn,I,1.0,2.0,-1.0,1.78,1.88,1.25,2.06,False,0.0118439939999963
0.0,Cs,Pb,Cl,1.0,2.0,-1.0,1.78,1.88,1.19,1.67,True,0.0
0.0,Cs,Pu,O,0.0,0.0,0.0,2.6,2.6,1.75,0.6,True,0.0809525220000004
1.0,Cs,Pu,O,0.0,0.0,0.0,2.6,2.6,1.75,0.6,True,0.0
0.0,Cs,Sr,Cl,1.0,2.0,-1.0,1.78,1.88,1.18,1.67,True,0.0029529129999996
0.0,Cs,Tm,Br,1.0,2.0,-1.0,1.78,1.88,1.03,1.82,True,0.1219603708888854
0.0,Tl,Pu,O,0.0,0.0,0.0,1.9,1.9,1.75,0.6,True,0.0
0.0,Rb,Sr,Cl,1.0,2.0,-1.0,1.63,1.72,1.18,1.67,True,0.0094709552499994
0.0,Sr,Co,O,2.0,4.0,-2.0,1.31,1.44,0.53,1.26,True,0.0184808396290323
1.0,Sr,Co,O,2.0,4.0,-2.0,1.31,1.44,0.53,1.26,False,0.0112162560714281
0.0,Sr,Nb,O,2.0,4.0,-2.0,1.31,1.44,0.68,1.26,True,0.0091657740000083
3.0,Ba,Ti,O,2.0,4.0,-2.0,1.4700000000000002,1.6099999999999999,0.605,1.2600000000000005,True,0.0246922305882311
0.0,Li,Ti,Cl,1.0,2.0,-1.0,1.3499999999999999,1.3499999999999999,0.86,1.67,True,0.2020785365416646
0.0,Rb,Cr,F,1.0,2.0,-1.0,1.63,1.72,1.2,1.19,True,0.0103533537499957
0.0,Ba,Li,F,2.0,1.0,-1.0,1.47,1.61,0.76,1.19,False,0.0219032200000022
0.0,Ba,Mo,O,2.0,4.0,-2.0,1.47,1.61,0.65,1.26,False,0.0
0.0,Ba,Nb,O,2.0,4.0,-2.0,1.47,1.61,0.68,1.26,False,0.0
0.0,Ba,Os,O,0.0,0.0,0.0,2.15,2.15,1.3,0.6,False,0.0804348329999973
1.0,Ba,Os,O,0.0,0.0,0.0,2.15,2.15,1.3,0.6,True,0.0667726184615435
0.0,Ba,Pu,O,0.0,0.0,0.0,2.15,2.15,1.75,0.6,False,0.0243402839999991
0.0,Ba,Th,O,2.0,4.0,-2.0,1.47,1.61,0.94,1.26,False,0.0834060899999986
0.0,Ba,V,O,2.0,4.0,-2.0,1.47,1.61,0.58,1.26,False,0.1149159189999844
0.0,Ca,Zr,O,2.0,4.0,-2.0,1.18,1.34,0.72,1.26,False,0.1918930845000037
0.0,Pb,Cr,O,2.0,4.0,-2.0,1.35,1.49,0.55,1.26,False,0.1565822560000045
0.0,Cs,Ca,Br,1.0,2.0,-1.0,1.78,1.88,1.0,1.82,False,0.0
1.0,Cs,Ca,Br,1.0,2.0,-1.0,1.78,1.88,1.0,1.82,True,0.0
0.0,Cs,Ca,F,1.0,2.0,-1.0,1.78,1.88,1.0,1.19,False,0.0
1.0,Cs,Ca,F,1.0,2.0,-1.0,1.78,1.88,1.0,1.19,False,0.0
0.0,Cs,Cd,Br,1.0,2.0,-1.0,1.78,1.88,0.95,1.82,False,0.0326752269999985
0.0,Cs,Cd,Cl,1.0,2.0,-1.0,1.78,1.88,0.95,1.67,False,0.0026339559999986
0.0,Cs,Cd,F,1.0,2.0,-1.0,1.78,1.88,0.95,1.19,False,0.0
0.0,Cs,Eu,Cl,1.0,2.0,-1.0,1.78,1.88,1.17,1.67,False,0.010537762000002
0.0,Cs,Eu,F,1.0,2.0,-1.0,1.78,1.88,1.17,1.19,False,0.0157761239999985
0.0,Cs,Fe,F,1.0,2.0,-1.0,1.78,1.88,1.2,1.19,False,0.3133602252499958
0.0,Cs,Ge,Br,1.0,2.0,-1.0,1.78,1.88,0.73,1.82,False,0.0168454719999999
0.0,Cs,Hg,Br,1.0,2.0,-1.0,1.78,1.88,1.02,1.82,False,0.0415227799999988
0.0,Cs,Hg,Cl,1.0,2.0,-1.0,1.78,1.88,1.02,1.67,False,0.0328403993333359
0.0,Cs,Hg,F,1.0,2.0,-1.0,1.78,1.88,1.02,1.19,False,0.0
1.0,Cs,Hg,F,1.0,2.0,-1.0,1.78,1.88,1.02,1.19,False,0.0
0.0,Cs,Mg,F,1.0,2.0,-1.0,1.78,1.88,0.72,1.19,False,0.0576306187500019
0.0,Cs,Pb,F,1.0,2.0,-1.0,1.78,1.88,1.19,1.19,False,0.0091062169999993
0.0,Cs,Pb,I,1.0,2.0,-1.0,1.78,1.88,1.19,2.06,False,0.0250493440000001
0.0,Cs,Sm,Cl,1.0,2.0,-1.0,1.78,1.88,1.6500000000000001,1.67,False,0.1161817939999991
0.0,Cs,Sn,Br,1.0,2.0,-1.0,1.78,1.88,1.25,1.82,False,0.0111951394999998
0.0,Cs,Sn,Cl,1.0,2.0,-1.0,1.78,1.88,1.25,1.67,False,0.0226868215000006
0.0,Cs,Sr,F,1.0,2.0,-1.0,1.78,1.88,1.18,1.19,False,0.0193475639999984
0.0,Cs,Tm,Cl,1.0,2.0,-1.0,1.78,1.88,1.03,1.67,False,0.201543684777782
1.0,Cs,Tm,Cl,1.0,2.0,-1.0,1.78,1.88,1.03,1.67,False,0.1557705418254009
0.0,Pb,Ge,O,2.0,4.0,-2.0,1.35,1.49,0.53,1.26,False,0.2177559430000091
0.0,Pb,Hf,O,2.0,4.0,-2.0,1.35,1.49,0.71,1.26,False,0.0402784003124949
0.0,K,Ca,F,1.0,2.0,-1.0,1.55,1.64,1.0,1.19,False,0.0238642845000001
