n,A,B,X,Aox,Box,Cox,Ra,Rb,Rc,exp,EAH
1.0,Ag,Li,F,0.0,0.0,0.0,1.6,1.45,0.5,False,0.04037424857142824
1.0,Ag,Li,F,2.0,1.0,-1.0,1.08,0.9,1.1899999999999997,False,0.06892181357142846
0.0,Rb,Ag,F,1.0,2.0,-1.0,1.66,1.08,1.19,True,0.0
0.0,Ag,Sc,O,3.0,3.0,-2.0,0.89,0.885,1.26,True,0.0
0.0,Sr,Ni,O,2.0,4.0,-2.0,1.32,0.9500000000000001,1.26,True,0.0
0.0,Sr,Cu,O,2.0,2.0,-1.3333333333333333,1.32,0.87,0.8866666666666668,True,0.0
1.0,Sr,Cu,O,2.0,2.0,-1.5,1.32,0.87,0.98,False,0.016105481428571267
0.0,Ba,Ce,O,2.0,4.0,-2.0,1.49,1.01,1.26,True,0.0
0.0,Ba,Pr,O,0.0,0.0,0.0,2.15,1.85,0.6,True,0.0
0.0,Ba,Tb,O,2.0,4.0,-2.0,1.49,0.9,1.26,True,0.0
0.0,Ce,Al,O,3.0,3.0,-2.0,1.15,0.675,1.26,True,0.0
0.0,Eu,Nb,O,2.0,4.0,-2.0,1.31,0.82,1.26,True,0.0
0.0,K,Mn,F,1.0,2.0,-1.0,1.52,0.97,1.1899999999999997,True,0.0
1.0,K,Mn,F,1.0,2.0,-1.0,1.52,0.97,1.19,True,0.0
2.0,K,Mn,F,1.0,2.0,-1.0,1.5200000000000002,0.97,1.1899999999999997,True,0.0
0.0,Sr,Sn,O,2.0,4.0,-2.0,1.32,0.83,1.26,True,0.0
1.0,Sr,Sn,O,2.0,4.0,-2.0,1.32,0.83,1.26,True,0.005311964285715121
0.0,Sr,Tc,O,0.0,0.0,0.0,2.0,1.35,0.6,True,0.0
1.0,Sr,Tc,O,0.0,0.0,0.0,2.0,1.35,0.6,True,0.037539396428570626
0.0,Ba,Sn,O,2.0,4.0,-2.0,1.49,0.83,1.26,True,0.0
1.0,Ba,Sn,O,2.0,4.0,-2.0,1.49,0.83,1.26,True,0.0
3.0,Ba,Sn,O,2.0,4.0,-2.0,1.49,0.83,1.2600000000000005,False,0.04853893352941174
0.0,Eu,Fe,O,3.0,3.0,-2.0,1.087,0.785,1.26,True,0.0
0.0,La,Co,O,3.0,3.0,-2.0,1.172,0.75,1.26,True,0.0
1.0,La,Co,O,3.0,2.0,-2.0,1.172,0.885,1.2600000000000002,True,0.07255574464285353
3.0,La,Co,O,3.0,2.6666666666666665,-2.0,1.172,0.7949999999999999,1.26,True,0.09074489176470557
0.0,La,Ga,O,3.0,3.0,-2.0,1.172,0.76,1.26,True,0.0
0.0,Sr,Rh,O,2.0,4.0,-2.0,1.32,0.74,1.26,True,0.0
1.0,Sr,Rh,O,2.0,4.0,-2.0,1.32,0.74,1.26,True,0.025745587500000333
0.0,Cs,Ag,Cl,1.0,2.0,-1.0,1.81,1.08,1.67,True,0.0
0.0,Cs,Au,Br,0.0,0.0,0.0,2.6,1.35,1.15,True,0.0
0.0,Cs,Au,Cl,0.0,0.0,0.0,2.6,1.35,1.0,True,0.0
0.0,Cs,Au,I,0.0,0.0,0.0,2.6,1.35,1.4,True,0.0
0.0,Ba,Zr,O,2.0,4.0,-2.0,1.49,0.86,1.26,True,0.0
1.0,Ba,Zr,O,2.0,4.0,-2.0,1.49,0.86,1.26,True,0.0
2.0,Ba,Zr,O,2.0,4.0,-2.0,1.49,0.86,1.26,False,0.0
0.0,Cs,Ag,F,1.0,2.0,-1.0,1.81,1.08,1.1899999999999997,True,0.0
1.0,Cs,Ag,F,1.0,2.0,-1.0,1.81,1.08,1.19,True,0.02142486999999349
0.0,Eu,Ti,O,2.0,4.0,-2.0,1.31,0.745,1.26,True,0.0
1.0,Eu,Ti,O,2.0,4.0,-2.0,1.31,0.745,1.26,False,0.0
2.0,Eu,Ti,O,2.0,4.0,-2.0,1.31,0.745,1.26,False,0.00027171291668715014
3.0,Eu,Ti,O,2.0,4.0,-2.0,1.31,0.745,1.26,False,0.0032556188235464134
0.0,K,Cu,F,1.0,2.0,-1.0,1.52,0.87,1.1899999999999997,True,0.0
1.0,K,Cu,F,1.0,2.0,-1.0,1.52,0.87,1.19,True,0.01496510785714289
2.0,K,Cu,F,1.0,2.0,-1.0,1.5200000000000002,0.87,1.1899999999999997,True,0.01858966291665265
0.0,Rb,Cu,F,1.0,2.0,-1.0,1.66,0.87,1.1899999999999997,True,0.0
1.0,Rb,Cu,F,1.0,2.0,-1.0,1.66,0.87,1.19,False,0.0
0.0,Cs,Ca,Cl,1.0,2.0,-1.0,1.81,1.14,1.67,True,0.0
1.0,Cs,Ca,Cl,1.0,2.0,-1.0,1.81,1.14,1.67,False,0.0
2.0,Cs,Ca,Cl,1.0,2.0,-1.0,1.8099999999999998,1.14,1.67,False,0.0
0.0,Cs,Pb,Br,1.0,2.0,-1.0,1.81,1.33,1.82,True,0.0
0.0,Rb,Cu,Cl,1.0,2.0,-1.0,1.66,0.87,1.67,True,0.0
1.0,Rb,Cu,Cl,1.0,2.0,-1.0,1.66,0.87,1.67,False,0.02104315142857116
0.0,Sr,Ti,O,2.0,4.0,-2.0,1.32,0.745,1.26,True,0.0
1.0,Sr,Ti,O,2.0,4.0,-2.0,1.32,0.745,1.26,True,0.0
2.0,Sr,Ti,O,2.0,4.0,-2.0,1.32,0.745,1.26,True,0.0
3.0,Sr,Ti,O,2.0,4.0,-2.0,1.32,0.745,1.26,True,0.0
0.0,Cs,Dy,Br,1.0,2.0,-1.0,1.81,1.21,1.82,True,0.0
0.0,Cs,Sn,I,1.0,2.0,-1.0,1.81,1.25,2.06,True,0.0
0.0,Cs,Pb,Cl,1.0,2.0,-1.0,1.81,1.33,1.67,True,0.0
0.0,Cs,Pu,O,0.0,0.0,0.0,2.6,1.75,0.6,True,0.0
1.0,Cs,Pu,O,0.0,0.0,0.0,2.6,1.75,0.6,False,0.0
0.0,Cs,Sr,Cl,1.0,2.0,-1.0,1.81,1.32,1.67,True,0.0
0.0,Cs,Tm,Br,1.0,2.0,-1.0,1.81,1.17,1.82,True,0.0
0.0,Tl,Pu,O,0.0,0.0,0.0,1.9,1.75,0.6,True,0.0
0.0,Rb,Sr,Cl,1.0,2.0,-1.0,1.66,1.32,1.67,True,0.0
0.0,Sr,Co,O,2.0,4.0,-2.0,1.32,0.67,1.26,True,0.0
1.0,Sr,Co,O,2.0,4.0,-2.0,1.32,0.67,1.26,True,0.011216256071428177
0.0,Sr,Nb,O,2.0,4.0,-2.0,1.32,0.82,1.26,True,0.0
0.0,Ba,Ti,O,2.0,4.0,-2.0,1.49,0.745,1.26,True,0.0
3.0,Ba,Ti,O,2.0,4.0,-2.0,1.49,0.745,1.2600000000000005,False,0.024692230588231112
1.0,Ba,Ti,O,2.0,4.0,-2.0,1.49,0.745,1.2600000000000002,True,0.0
0.0,Hg,N,Cl,2.0,1.0,-1.0,1.16,0.55,1.67,True,0.0
0.0,Rb,Cr,F,1.0,2.0,-1.0,1.66,0.94,1.19,True,0.0
0.0,Ba,Fe,O,2.0,4.0,-2.0,1.49,0.9999999999999999,1.26,True,0.0
1.0,Ba,Fe,O,2.0,4.0,-2.0,1.49,0.9999999999999999,1.2600000000000002,True,0.0
0.0,Ba,Li,F,2.0,1.0,-1.0,1.49,0.9,1.19,True,0.0
0.0,Ba,Mo,O,2.0,4.0,-2.0,1.49,0.79,1.26,True,0.0
0.0,Ba,Nb,O,2.0,4.0,-2.0,1.49,0.82,1.26,True,0.0
0.0,Ba,Np,O,0.0,0.0,0.0,2.15,1.75,0.6,True,0.0
0.0,Ba,Os,O,0.0,0.0,0.0,2.15,1.3,0.6,True,0.0
1.0,Ba,Os,O,0.0,0.0,0.0,2.15,1.3,0.6,False,0.06677261846154359
0.0,Ba,Pa,O,0.0,0.0,0.0,2.15,1.8,0.6,True,0.0
0.0,Ba,Pu,O,0.0,0.0,0.0,2.15,1.75,0.6,True,0.0
0.0,Ba,Th,O,2.0,4.0,-2.0,1.49,1.08,1.26,True,0.0
0.0,Ba,V,O,2.0,4.0,-2.0,1.49,0.72,1.26,True,0.0
1.0,Ba,V,O,2.0,4.0,-2.0,1.49,0.72,1.2600000000000002,True,0.0
0.0,Ca,Si,O,2.0,4.0,-2.0,1.14,0.54,1.26,True,0.0
1.0,Ca,Si,O,2.0,4.0,-2.0,1.14,0.54,1.26,True,0.18881341178571454
2.0,Ca,Si,O,2.0,4.0,-2.0,1.1400000000000001,0.54,1.2600000000000005,True,0.008807020694431955
0.0,Ca,Sn,O,0.0,0.0,0.0,1.8,1.45,0.6,True,0.0
0.0,Ca,Zr,O,2.0,4.0,-2.0,1.14,0.86,1.26,True,0.0
0.0,Ce,Cr,O,3.0,3.0,-2.0,1.15,1.0999999999999999,1.26,True,0.0
0.0,Ce,Ga,O,0.0,0.0,0.0,1.85,1.3,0.6,True,0.0
0.0,Ce,V,O,3.0,3.0,-2.0,1.15,0.78,1.26,True,0.0
0.0,Pb,Cr,O,2.0,4.0,-2.0,1.33,0.9999999999999999,1.26,True,0.0
0.0,Cs,Ca,Br,1.0,2.0,-1.0,1.81,1.14,1.82,True,0.0
1.0,Cs,Ca,Br,1.0,2.0,-1.0,1.81,1.14,1.82,False,0.0
0.0,Cs,Ca,F,1.0,2.0,-1.0,1.81,1.14,1.19,True,0.0
1.0,Cs,Ca,F,1.0,2.0,-1.0,1.81,1.14,1.19,True,0.0
0.0,Cs,Cd,Br,1.0,2.0,-1.0,1.81,1.09,1.82,True,0.0
1.0,Cs,Cd,Br,1.0,2.0,-1.0,1.8100000000000003,1.09,1.82,True,0.0031804174999834345
0.0,Cs,Cd,Cl,1.0,2.0,-1.0,1.81,1.09,1.67,True,0.0
0.0,Cs,Cd,F,1.0,2.0,-1.0,1.81,1.09,1.19,True,0.0
0.0,Cs,Eu,Cl,1.0,2.0,-1.0,1.81,1.31,1.67,True,0.0
0.0,Cs,Eu,F,1.0,2.0,-1.0,1.81,1.31,1.19,True,0.0
0.0,Cs,Fe,F,1.0,2.0,-1.0,1.81,0.92,1.19,True,0.0
3.0,Cs,Fe,F,1.0,2.0,-1.0,1.8100000000000003,0.92,1.1900000000000002,True,0.0
0.0,Cs,Ge,Br,1.0,2.0,-1.0,1.81,0.87,1.82,True,0.0
0.0,Cs,Hg,Br,1.0,2.0,-1.0,1.81,1.16,1.82,True,0.0
1.0,Cs,Hg,Br,1.0,2.0,-1.0,1.8100000000000003,1.16,1.82,False,0.0
0.0,Cs,Hg,Cl,1.0,2.0,-1.0,1.81,1.16,1.67,True,0.0
1.0,Cs,Hg,Cl,1.0,2.0,-1.0,1.8099999999999996,1.16,1.670000000000001,True,0.0
0.0,Cs,Hg,F,1.0,2.0,-1.0,1.81,1.16,1.19,True,0.0
1.0,Cs,Hg,F,1.0,2.0,-1.0,1.81,1.16,1.19,True,0.0
0.0,Cs,Mg,F,1.0,2.0,-1.0,1.81,0.86,1.19,True,0.0
3.0,Cs,Mg,F,1.0,2.0,-1.0,1.8100000000000003,0.86,1.1900000000000002,True,0.0
0.0,Cs,Pb,F,1.0,2.0,-1.0,1.81,1.33,1.19,True,0.0
0.0,Cs,Pb,I,1.0,2.0,-1.0,1.81,1.33,2.06,True,0.0
0.0,Cs,Sm,Cl,1.0,2.0,-1.0,1.81,1.36,1.67,True,0.0
0.0,Cs,Sn,Br,1.0,2.0,-1.0,1.81,1.25,1.82,True,0.0
0.0,Cs,Sn,Cl,1.0,2.0,-1.0,1.81,1.25,1.67,True,0.0
0.0,Cs,Sr,F,1.0,2.0,-1.0,1.81,1.32,1.19,True,0.0
0.0,Cs,Tm,Cl,1.0,2.0,-1.0,1.81,1.17,1.67,True,0.0
