file,formula,spacegroup_symbol,spacegroup_number,rp_like,rp_confidence,rp_stoich_score,octa_fraction_rp_score,layered_network_score,anion_to_cation_ratio,octahedral_site_count,octahedral_fraction_of_cations,largest_octa_network_fraction,a_site_coordination_fraction,corner_sharing_fraction,b_octahedral_site_count,b_site_octa_fraction,b_largest_octa_network_fraction,b_corner_sharing_fraction,b_mean_octa_neighbor_degree,b_connectivity_score,A_element,B_element,X_element,A_oxidation_state,B_oxidation_state,X_oxidation_state,A_shannon_radius,B_shannon_radius,X_shannon_radius,A_shannon_cn,B_shannon_cn,X_shannon_cn,A_shannon_spin,B_shannon_spin,X_shannon_spin,error
data/cifs/Ti2CuS4_mp-559918.cif,Ti2 Cu1 S4,R-3m,166,False,0.55,1.0,0.0,0.0,1.333333,64,0.666667,1.0,0.0,0.4,64,1.0,1.0,0.4,7.5,1.0,Ti,Cu,S,3.5,1.0,-2.0,0.670,0.770,1.840,VI,VI,VI,none,none,none,
data/cifs/Ti2FeS4_mp-9942.cif,Ti2 Fe1 S4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Ti,Fe,S,3.0,2.0,-2.0,0.670,0.780,1.840,VI,VI,VI,none,High Spin,none,
data/cifs/Ti2FeSe4_mp-1192831.cif,Ti2 Fe1 Se4,P-3m1,164,False,0.662,1.0,0.0,0.75,1.333333,96,1.0,0.375,0.0,0.0,32,1.0,0.375,0.0,3.0,1.0,Ti,Fe,Se,3.0,2.0,-2.0,0.670,0.780,1.980,VI,VI,VI,none,High Spin,none,
data/cifs/Ti2MnO4_mp-561097.cif,Ti2 Mn1 O4,Fd-3m,227,False,0.55,1.0,0.0,0.0,1.333333,32,0.666667,1.0,0.0,0.0,32,1.0,1.0,0.0,6.0,1.0,Ti,Mn,O,3.0,2.0,-2.0,0.670,0.830,1.350,VI,VI,II,none,High Spin,none,
data/cifs/Ti2NiS4_mp-1025263.cif,Ti2 Ni1 S4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Ti,Ni,S,3.0,2.0,-2.0,0.670,0.690,1.840,VI,VI,VI,none,none,none,
data/cifs/Ti2NiSe4_mp-1025281.cif,Ti2 Ni1 Se4,C2/m,12,False,0.55,1.0,0.0,0.5,1.333333,24,1.0,0.25,0.0,0.0,8,1.0,0.25,0.0,1.0,0.5,Ti,Ni,Se,3.0,2.0,-2.0,0.670,0.690,1.980,VI,VI,VI,none,none,none,
data/cifs/Ti4CoBi2_mp-567883.cif,Ti4 Co1 Bi2,I4/mcm,140,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ti,Bi,,0.25,0.0,,,,,,,,,,,
data/cifs/Ti4Cu2O_mp-22432.cif,Ti4 Cu2 O1,Fd-3m,227,False,0.0,0.0,0.0,0.0,0.166667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ti,Cu,O,0.0,1.0,-2.0,,0.770,1.350,,VI,II,,none,none,
data/cifs/Ti4FeBi2_mp-570271.cif,Ti4 Fe1 Bi2,I4/m,87,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ti,Bi,,-1.0,3.0,,,1.030,,,VI,,,none,,
data/cifs/Ti4MnBi2_mp-569743.cif,Ti4 Mn1 Bi2,I4/mcm,140,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ti,Bi,,-1.0,3.0,,,1.030,,,VI,,,none,,
data/cifs/Ti4NiBi2_mp-571457.cif,Ti4 Ni1 Bi2,I4/mcm,140,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Ti,Bi,,0.25,0.0,,,,,,,,,,,
data/cifs/TiMn2O4_mp-540763.cif,Ti1 Mn2 O4,P4_322,95,False,0.625,1.0,0.0,0.5,1.333333,64,0.666667,0.25,0.0,0.0,32,1.0,0.25,0.0,2.0,1.0,Mn,Ti,O,2.0,4.0,-2.0,0.960,0.605,1.350,VIII,VI,II,none,none,none,
data/cifs/TiZn2O4_mp-542737.cif,Ti1 Zn2 O4,P4_122,91,False,0.625,1.0,0.0,0.5,1.333333,64,0.666667,0.25,0.0,0.0,32,1.0,0.25,0.0,2.0,1.0,Zn,Ti,O,2.0,4.0,-2.0,0.900,0.605,1.350,VIII,VI,II,none,none,none,
data/cifs/Tl2CdTe4_mp-1025299.cif,Tl2 Cd1 Te4,I-4,82,False,0.4,1.0,0.0,0.0,1.333333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Tl,Cd,Te,3.0,2.0,-2.0,0.980,0.950,2.210,VIII,VI,VI,none,none,none,
data/cifs/Tl2CrO4_mp-1193772.cif,Tl2 Cr1 O4,C2/m,12,False,0.4,1.0,0.0,0.0,1.333333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Tl,Cr,O,1.0,6.0,-2.0,1.700,0.440,1.350,XII,VI,II,none,none,none,
data/cifs/Tl2CrO4_mp-16892.cif,Tl2 Cr1 O4,Pnma,62,False,0.694,1.0,1.0,0.125,1.333333,32,0.333333,0.0625,0.0,0.0,32,0.5,0.0625,0.0,1.0,0.5,Tl,Cr,O,1.0,6.0,-2.0,1.700,0.440,1.350,XII,VI,II,none,none,none,
data/cifs/Tl2MoO4_mp-18938.cif,Tl2 Mo1 O4,C2,5,True,0.767,1.0,0.333333,1.0,1.333333,24,0.5,0.5,0.0,0.2,24,0.75,0.5,0.2,6.666667,1.0,Tl,Mo,O,1.0,6.0,-2.0,1.700,0.590,1.350,XII,VI,II,none,none,none,
data/cifs/Tl2MoO4_mp-558755.cif,Tl2 Mo1 O4,P-3m1,164,True,0.825,1.0,1.0,0.5,1.333333,16,0.333333,0.25,0.0,0.0,16,0.5,0.25,0.0,2.0,1.0,Tl,Mo,O,1.0,6.0,-2.0,1.700,0.590,1.350,XII,VI,II,none,none,none,
data/cifs/Tl2PdCl4_mp-29889.cif,Tl2 Pd1 Cl4,P4/mmm,123,False,0.4,1.0,0.0,0.0,1.333333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Tl,Pd,Cl,1.0,2.0,-1.0,1.700,0.860,1.810,XII,VI,VI,none,none,none,
data/cifs/Tl2SO4_mp-4112.cif,Tl2 S1 O4,Pnma,62,False,0.4,1.0,0.0,0.0,1.333333,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Tl,S,O,1.0,6.0,-2.0,1.700,0.290,1.350,XII,VI,II,none,none,none,
data/cifs/Tl2SeO4_mp-4449.cif,Tl2 Se1 O4,Pnma,62,False,0.788,1.0,1.0,0.25,1.333333,32,0.333333,0.125,0.0,0.0,32,0.5,0.125,0.0,3.0,1.0,Tl,Se,O,1.0,6.0,-2.0,1.700,0.420,1.350,XII,VI,II,none,none,none,
