file,formula,spacegroup_symbol,spacegroup_number,classification,family_match,confidence,anion_to_cation_ratio,score_abx3_like,score_layered_rp_like,network_score,b_site_species,octahedral_fraction_of_cations,largest_octa_network_fraction,a_site_coordination_fraction,A_element,B_element,X_element,A_oxidation_state,B_oxidation_state,X_oxidation_state,A_shannon_radius,B_shannon_radius,X_shannon_radius,A_shannon_cn,B_shannon_cn,X_shannon_cn,A_shannon_spin,B_shannon_spin,X_shannon_spin,error
data/cifs/BaBiO3_mp-23438.cif,Ba1 Bi1 O3,Fm-3m,225,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Bi,0.5,1.0,1.0,Ba,Bi,O,2.0,3.0,-1.6666666666666667,1.610,1.030,,XII,VI,,none,none,,
data/cifs/BaBiO3_mp-23482.cif,Ba1 Bi1 O3,R-3,148,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Bi,0.5,1.0,1.0,Ba,Bi,O,2.0,3.0,-1.6666666666666667,1.610,1.030,,XII,VI,,none,none,,
data/cifs/BaBiO3_mp-545783.cif,Ba1 Bi1 O3,Pm-3m,221,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Bi,0.5,1.0,1.0,Ba,Bi,O,2.0,3.0,-1.6666666666666667,1.610,1.030,,XII,VI,,none,none,,
data/cifs/BaBiO3_mp-559051.cif,Ba1 Bi1 O3,P2_1/c,14,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Bi,0.5,1.0,1.0,Ba,Bi,O,2.0,3.0,-1.6666666666666667,1.610,1.030,,XII,VI,,none,none,,
data/cifs/BaBiSe3_mp-27365.cif,Ba1 Bi1 Se3,P2_12_12_1,19,unlikely perovskite-family,False,0.54,1.5,1.0,0.882352941176471,0.69375,Bi,0.5,0.125,1.0,Ba,Bi,Se,2.0,3.0,-1.6666666666666667,1.610,1.030,,XII,VI,,none,none,,
data/cifs/BaCO3_mp-4559.cif,Ba1 C1 O3,R3m,160,unlikely perovskite-family,False,0.227,1.5,1.0,0.882352941176471,0.0,,0.0,0.0,0.0,C,Ba,O,4.0,2.0,-2.0,0.160,1.350,1.350,VI,VI,II,none,none,none,
data/cifs/BaCO3_mp-5504.cif,Ba1 C1 O3,Pnma,62,unlikely perovskite-family,False,0.227,1.5,1.0,0.882352941176471,0.0,,0.0,0.0,0.0,C,Ba,O,4.0,2.0,-2.0,0.160,1.350,1.350,VI,VI,II,none,none,none,
data/cifs/BaCaSn3_mp-583645.cif,Ba1 Ca1 Sn3,Cmce,64,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/BaCeO3_mp-3187.cif,Ba1 Ce1 O3,Pnma,62,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Ce,0.5,1.0,1.0,Ba,Ce,O,2.0,4.0,-2.0,1.610,0.870,1.350,XII,VI,II,none,none,none,
data/cifs/BaCeO3_mp-3316.cif,Ba1 Ce1 O3,Imma,74,unlikely perovskite-family,False,0.553,1.5,1.0,0.882352941176471,0.85,Ce,1.0,1.0,0.0,Ba,Ce,O,2.0,4.0,-2.0,1.610,0.870,1.350,XII,VI,II,none,none,none,
data/cifs/BaCeO3_mp-4900.cif,Ba1 Ce1 O3,R-3c,167,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Ce,0.5,1.0,1.0,Ba,Ce,O,2.0,4.0,-2.0,1.610,0.870,1.350,XII,VI,II,none,none,none,
data/cifs/BaCeO3_mp-5663.cif,Ba1 Ce1 O3,Pm-3m,221,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Ce,0.5,1.0,1.0,Ba,Ce,O,2.0,4.0,-2.0,1.610,0.870,1.350,XII,VI,II,none,none,none,
